measure,popn,tscale,visit,n,mean,sd,se,lo,hi,week_num
FVC % predicted,all,weekly,NA,99,5.170934994833467,15.745105157488071,1.5824426088508363,2.069347481485828,8.272522508181106,43
FVC % predicted,all,weekly,NA,97,1.9478960127878275,17.446498609038635,1.77142354576964,-1.5240941369206664,5.419886162496321,44
FVC % predicted,all,weekly,NA,102,4.047224774131458,18.433648811021154,1.8252032078327491,0.4698264867792701,7.624623061483646,45
FVC % predicted,all,weekly,NA,98,3.0302887919843853,17.62362282687879,1.7802547442800036,-0.4590105068044217,6.519588090773192,46
FVC % predicted,all,weekly,NA,98,1.1114641091843689,18.15134532563832,1.8335627667739427,-2.4823189136925587,4.705247132061297,47
FVC % predicted,all,weekly,NA,84,5.578737124285216,17.858050728767587,1.9484730768794947,1.7597298936014067,9.397744354969026,48
FVC % predicted,all,weekly,NA,101,2.8592585801066033,16.710586515921303,1.6627655053563266,-0.39976181039179703,6.118278970605004,49
FVC % predicted,all,weekly,NA,92,3.7194384119064754,16.89829653298224,1.761769200068745,0.26637077977173496,7.172506044041215,50
FVC % predicted,all,weekly,NA,80,1.837314536634808,16.26495867035597,1.818477661907027,-1.7269016807029651,5.401530753972581,51
FVC % predicted,all,weekly,NA,51,2.6099207073631927,16.211130142319547,2.2700122677876218,-1.8393033375005459,7.059144752226931,52
FVC % predicted,stable,visit,V1,133,0,0,0,0,0,NA
FVC % predicted,stable,visit,V2,135,3.739387250915431,16.699237747681096,1.4372415486917143,0.9223938154796709,6.556380686351191,NA
FVC % predicted,stable,visit,V3,104,-0.6628950242438875,11.999294595352582,1.1766276402125242,-2.969085199060435,1.6432951505726598,NA
FVC % predicted,stable,visit,V4,65,4.058850264368057,20.723699872216347,2.570458613356768,-0.9792486178112085,9.096949146547322,NA
FVC % predicted,stable,visit,V5,32,4.540659027623414,13.675109293618707,2.4174406287462413,-0.19752460471921918,9.278842659966045,NA
FVC % predicted,stable,visit,NA,119,NA,NA,NA,NA,NA,NA
FVC % predicted,stable,weekly,NA,247,0,0,0,0,0,0
FVC % predicted,stable,weekly,NA,200,1.0651941693171747,17.538799460931234,1.2401804032695438,-1.3655594210911313,3.495947759725481,1
FVC % predicted,stable,weekly,NA,174,-2.934187960717443,17.84909394413534,1.3531363198705053,-5.586335147663633,-0.2820407737712527,2
FVC % predicted,stable,weekly,NA,163,-0.8248086437006142,18.866915308807965,1.4777708574661608,-3.721239524334289,2.071622236933061,3
FVC % predicted,stable,weekly,NA,162,0.9788968389442022,15.878141519143652,1.2475046156473495,-1.4662122077246025,3.424005885613007,4
FVC % predicted,stable,weekly,NA,161,-0.05290467781521434,16.313035822758025,1.2856473289266828,-2.5727734425115125,2.4669640868810836,5
FVC % predicted,stable,weekly,NA,151,-1.708329031943792,16.79797170499393,1.3669995504288557,-4.387648150784349,0.9709900868967649,6
FVC % predicted,stable,weekly,NA,156,-1.8737051247499585,18.197497343143816,1.4569658267152987,-4.729358145111944,0.9819478956120271,7
FVC % predicted,stable,weekly,NA,135,0.19400018450163217,13.176956370301992,1.1340918350195857,-2.0288198121367556,2.41682018114002,8
FVC % predicted,stable,weekly,NA,129,-0.3501817193491365,11.743007391753881,1.0339141501058204,-2.3766534535565444,1.6762900148582716,9
FVC % predicted,stable,weekly,NA,132,-0.3648308592942486,14.118967111130814,1.2288983496106214,-2.7734716245310667,2.0438099059425694,10
