data,name,type,tmpt,n,n_pex,mean,sd,se,med,min,max,lo,hi
clinic,fev1,Irrespective of disease status,same_week,244,NA,2.24,0.83,0.05,2.15,0.59,5.26,2.13,2.34
home,fev1,Irrespective of disease status,same_week,244,NA,2.22,0.86,0.05,2.11,0.17,5.72,2.11,2.33
clinic,fev1_fvc,Irrespective of disease status,same_day,219,NA,69.44,10.81,0.73,71.16,35.98,94.72,68.01,70.87
home,fev1_fvc,Irrespective of disease status,same_day,217,NA,74.58,12.67,0.86,75,21,100,72.89,76.27
clinic,fev1_fvc,Irrespective of disease status,same_week,244,NA,68.79,11.08,0.71,70.26,32.54,96.74,67.4,70.18
home,fev1_fvc,Irrespective of disease status,same_week,240,NA,74.24,13,0.84,75,21,100,72.59,75.88
clinic,fev1pp,Irrespective of disease status,same_day,219,NA,84.06,24.99,1.69,84.74,35.27,292.09,80.75,87.37
home,fev1pp,Irrespective of disease status,same_day,218,NA,84.43,25.69,1.74,84.32,5.4,177.23,81.02,87.84
clinic,fev1pp,Irrespective of disease status,same_week,244,NA,83.2,23.89,1.53,83.85,30.28,292.09,80.21,86.2
home,fev1pp,Irrespective of disease status,same_week,243,NA,83.15,25.12,1.61,83.12,5.4,177.23,79.99,86.3
clinic,fvc,Irrespective of disease status,same_day,219,NA,3.23,1.04,0.07,3.13,0.95,6.34,3.09,3.37
home,fvc,Irrespective of disease status,same_day,219,NA,3.14,1.04,0.07,3.04,0.17,6.65,3,3.28
clinic,fvc,Irrespective of disease status,same_week,244,NA,3.25,1.02,0.07,3.13,0.95,6.43,3.12,3.38
home,fvc,Irrespective of disease status,same_week,244,NA,3.12,1.01,0.06,3.02,0.17,6.65,3,3.25
clinic,fvcpp,Irrespective of disease status,same_day,219,NA,94.11,23.89,1.61,94.71,36.22,383.97,90.95,97.28
home,fvcpp,Irrespective of disease status,same_day,218,NA,92.09,22.17,1.5,92.22,4.08,187.13,89.15,95.03
clinic,fvcpp,Irrespective of disease status,same_week,244,NA,94.14,22.5,1.44,94.92,36.22,383.97,91.32,96.96
home,fvcpp,Irrespective of disease status,same_week,243,NA,91.32,22.06,1.42,91.66,4.08,187.13,88.54,94.09
clinic,pef,Irrespective of disease status,same_day,219,NA,345.72,128.32,8.67,338.1,76.9,800,328.73,362.72
home,pef,Irrespective of disease status,same_day,219,NA,360.26,134.28,9.07,359.85,47.3,826.4,342.48,378.05
clinic,pef,Irrespective of disease status,same_week,244,NA,346.07,125.8,8.05,335.65,76.9,800,330.28,361.85
home,pef,Irrespective of disease status,same_week,244,NA,358.29,132.39,8.48,351.25,47.3,826.4,341.68,374.9
